collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_price,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Elektronik,Telepon genggam,Vivo X80,Baru,12723889.364563355,36865028.358110555,True,8750.0,1989822,5253505,1006262,665080,0,6856426,0,354282.18370237143,0,3873788,0,0,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Audi A4,Bekas,1375614780.186827,2596493122.890786,True,7946.0,1786064,857679,1426369,956917,2412305,32751326,0,1679602.6708830418,2466848,3189162,3739958,1823412,999593,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Kawasaki KLX 150,Baru,38625962.75060243,36225379.410874665,True,1514.0,347298,637999,1033253,1407273,0,15563630,0,945620.7418941691,0,3354368,4718342,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,12593350.067491328,36552768.59038974,True,3084.0,1281320,0,1177437,880420,4953184,11973274,0,901986.42647682,0,0,0,0,223665,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,12038425.341650024,28890772.00489966,True,7516.0,684886,0,1010497,1075287,0,9642510,1859322,591649.9864311554,11325036,4049662,1195449,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Baru,45757320.37608072,117366290.2978215,True,8037.0,1011404,2954848,1447630,556984,0,5156988,0,444516.258481385,19926571,2871697,321288,0,0,0,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Terios,Baru,251800257.57731593,676551511.079473,True,3878.0,475300,2558254,1053340,578707,9768729,11026008,0,1012091.9686729335,11497974,0,3591171,0,0,4168449,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas kuning 22 karat,,6819468.91438951,19162712.533271186,True,9787.0,418473,0,886668,1207069,0,27678610,0,1436736.8229247006,0,2599434,3186243,0,434328,4788699,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3954 m2 pedesaan Depok Barat,,16479141156.0,39843355777.84072,True,,812780,0,970288,1187531,3004922,15788587,0,1015469.9436148886,546209,0,30256,0,1946502,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung perak sterling dengan liontin mutiara dan berlian,,942117.5959571722,2389152.701332286,True,7261.0,1784071,7268182,799199,1253101,9714847,15817999,0,1547273.705901399,9609165,1863766,0,4737869,4004607,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 10 gram,,942117.5959571722,1901045.5412297482,False,8528.0,607419,0,964149,538675,3310211,11739998,1883371,769205.592590039,8150944,747583,1642587,1302169,1520675,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Bekas,12316945.372641567,23222908.264605768,False,7254.0,1734223,4586130,1158680,1290242,0,31067128,1461911,1855642.3904194157,0,1401328,0,1187129,0,3484644,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,11508716.007740663,20141016.64536107,True,5794.0,1241974,0,1019158,435371,0,24499747,0,1647873.0947662666,0,0,2860684,2737555,1128624,200110,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,2270 m2 pinggiran kota Medan Utara,,17292928100.0,50268953465.821655,True,,1969066,0,772347,649162,2851912,19635304,1045844,1556752.2036515467,6792367,0,200280,0,0,26265,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 179 m2 Sidoarjo,Bekas,796243712.0,1445328155.9394982,True,,746230,0,1487415,557724,7370192,18428818,0,1800286.5206338477,0,0,2364287,0,1217433,3491261,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Baru,20870494.659087334,43626578.58459999,True,9625.0,1303929,0,1219655,955001,0,21889838,0,1492677.5846321918,14875142,0,0,3679592,0,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,24293652.336472813,18230970.480267152,True,3702.0,763632,8149755,1171041,938054,0,17028502,4729694,1403675.0929582226,17466003,3997500,3960913,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 201 m2 Surabaya,Baru,2396737194.0,1794792805.7338006,True,1042.0,1044263,9927818,1371078,1230047,0,14524569,1567002,1108393.8125921527,3187725,4047576,4170511,0,10889,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Terios,Baru,226389376.99504817,581327187.8643799,True,8472.0,1992563,621025,1174608,427226,2553336,10199603,0,965000.9179580329,12100970,0,4050106,3955008,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Baru,29574970.978951,60976767.16950455,False,6557.0,685029,4016686,902243,1335177,7882650,9386090,0,754666.5217796126,0,670189,0,0,4567720,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Baru,41999746.00861128,57577394.386198044,True,1437.0,233320,0,1194566,912214,0,24624583,4578216,1743127.6414775979,15397366,0,559638,2734234,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 196 m2 Bekasi,Bekas,1919450381.0,3475540512.260801,True,5793.0,1585694,0,885843,1299831,0,25385103,0,1482886.7717424058,0,873729,0,1055393,2740791,4897383,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Baru,18802341.762040153,21866587.543584924,True,3725.0,941053,2327365,1086490,463731,6253263,26822886,0,1939362.2205061414,12927626,2950653,3969686,0,0,3958169,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,12627880.548312701,11724309.03695544,True,2669.0,1586865,0,1115429,1388557,0,6374010,0,352782.14017976844,19561027,0,0,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5201324.765424239,10010423.590188945,True,6751.0,923696,0,815864,949479,5239230,24234454,0,1668843.7453391007,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,8434530.16734019,7892770.195988806,True,1729.0,1535005,5793097,1192378,921634,6811086,11729060,0,1054577.0180903922,4053251,0,0,19844,826638,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Samsung Galaxy S23 Ultra,Baru,25235577.984412603,25742034.027126033,True,1540.0,1604723,0,1421355,1388425,5244394,15360728,2295066,1124163.7917601021,5583094,826659,0,0,2478775,3452897,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,11225204.900863022,23875372.23919161,True,1680.0,288117,4829918,898148,395808,5674344,10194701,0,553737.5734874327,0,3088773,0,4282957,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 299 m2 Makassar,Baru,1603972927.0,1957715712.3455749,True,3630.0,290348,0,1427511,1135026,0,13343052,0,1132641.2087863972,5492416,0,2595934,1130799,2451555,4275276,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1000 gram,,1603972927.0,3750121748.4321094,True,9589.0,1457824,0,937151,728288,0,32735122,2223101,1680170.5253069983,0,0,2920393,0,21206,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,12371680.78905102,22474953.11557531,True,7017.0,484146,0,769851,504506,0,13715381,4039550,723690.476773489,0,4502782,491503,0,265967,2857305,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Bekas,34407386.124089465,30401249.717715643,True,5002.0,1115073,0,1426251,864231,9116079,15017134,3193040,1494446.2536544676,0,2816517,2811014,0,1571625,2951958,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Bekas,34408228.58793814,30353693.267889045,True,3442.0,1385480,3296303,817770,1176406,0,15859194,0,1276968.188963989,0,0,0,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,14054772.356692959,10805306.475823898,True,8790.0,625959,6923886,929509,922046,0,11118284,4765129,818269.2644362798,12118876,1711499,1515994,0,3225737,316604,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,14054772.356692959,23054999.09246473,True,6580.0,1891155,4061117,1109048,1131835,0,22530605,2148244,1941395.6273000466,16288186,0,3941430,3400467,2391043,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang mutiara multi dengan desain chevron,,5522644.495613417,6769338.005874978,False,2315.0,828572,0,1448481,1172734,8258302,14643031,0,850394.495666232,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,20122684.73811856,47791206.262331456,True,,1919307,0,826475,1301533,2514968,6990497,0,385423.3748288611,7629271,464725,0,4894281,3731879,1964255,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6075266.449817263,7335920.905382698,False,2446.0,1171709,0,1197042,615774,7327808,27015779,4230921,2052498.1838235199,0,1506218,0,2841958,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung mutiara multi dengan desain chevron,,13534611.2425129,36563438.29532189,True,4061.0,221196,0,1224172,1450286,0,20195901,2443610,1171393.128526422,0,2651782,0,0,2808731,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,11896078.291417133,34681415.34134657,True,5630.0,622262,2564579,1358091,888650,0,13183506,2994635,942575.5652376704,19949658,4849301,646178,4858819,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Bekas,30709302.886389337,82565137.19691594,True,,1665524,0,1427430,1278465,5871206,9975747,1707087,997203.2582084303,0,0,2796336,0,0,3000797,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Baru,38060000.0,97396032.43033895,True,1528.0,1233035,0,855341,769954,0,22759101,0,2160188.0163934976,0,0,0,1095676,4036052,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,iPhone 14 Pro Max,Bekas,21487199.880626436,36985113.88629056,True,7732.0,1287138,0,1074130,380599,0,23937301,0,1611891.0005983247,0,0,0,0,0,3634598,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung liontin mutiara dengan desain jalinan,,9748408.03136753,15702083.74583603,True,1483.0,1292547,0,1263593,398866,5917885,6495554,3960761,343925.65324171714,0,1073111,799719,3264998,2542415,4403359,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Baru,10800348.821786068,17049113.74914346,True,3488.0,1558771,4717108,1322450,624105,0,23945764,0,2139971.9322574977,0,3489485,151225,0,0,3403250,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3200 m2 pedesaan Depok Timur,,18859916800.0,27569673012.73629,True,,592428,0,994831,658600,0,30333828,4145858,2563876.3311509243,0,0,0,0,2822746,3734664,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Suzuki Smash,Baru,18949570.647654742,42001667.825164996,True,2051.0,1727468,6676903,1400897,1494521,0,19172282,0,1065791.2459403195,0,835748,2315958,239539,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 284 m2 Semarang,Bekas,1498586576.0,1971861322.470138,True,6907.0,1585299,0,846100,430258,0,26955980,4311631,2589750.4935561963,18132205,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Baru,40442480.17337665,98978785.09204763,True,4379.0,245802,0,766048,407014,7770889,5169694,1094869,492753.7365722434,1637033,109645,0,3491797,0,3640428,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Baru,41641208.99501605,62433302.80183026,True,2124.0,1570847,0,1487698,625627,6611835,26559133,2297475,2341445.2416129373,0,3058572,3984055,0,1008603,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Toyota Avanza,Baru,213518651.02897304,606035645.3725976,True,1910.0,1292949,2648029,1303373,983411,0,17728006,4653261,1431806.7848234212,0,284090,0,4843529,0,342498,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas kuning 14 karat,,4905641.083031384,7745672.8563816715,True,8100.0,905155,8323381,1213296,489204,0,10903362,3519552,875618.953775966,0,0,0,4258993,3116928,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mitsubishi Xpander,Bekas,256504210.4035976,491946474.05040133,True,8574.0,1070428,0,1421591,1021372,0,33103067,4485794,2745729.3629417294,0,54207,3807742,4191112,0,132970,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4314 m2 pedesaan Depok Barat,,20820386418.0,24957446077.04512,True,4713.0,523262,0,960558,834486,0,34041620,4910595,1868100.1010064261,5965446,4141186,0,2028749,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,9270035.802881256,15653993.992454123,True,3526.0,1471971,0,801021,694288,0,16574494,0,1531705.6003816517,18449003,4585841,0,4132840,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,23130525.185368713,43162445.9335216,True,5513.0,1302822,3632100,1068882,1264154,6957243,17744263,0,1772460.5582394842,2997354,310767,1203759,1093500,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,14984223.785210878,39546817.029566035,True,6502.0,849402,5873957,845729,902975,0,21124437,1103452,1463599.9059844662,7648542,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6382254.598678206,5609965.618486034,True,2059.0,823065,0,924031,1071946,0,24089563,0,2093514.0393977375,14459654,0,0,0,247927,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 161 m2 Medan Barat,Bekas,888330890.0,1303566383.743917,True,,212966,0,971672,1455589,0,17177961,0,935360.5814166529,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Bekas,23998592.43887742,54197049.07544766,True,7062.0,1055813,0,1125448,975264,3667930,15191055,0,1310169.713240544,0,0,0,0,0,4952479,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,"Cincin tunangan berlian solitaire 0,25 karat",,5035666.651765527,3681204.9190438315,True,2615.0,832839,0,1280000,766547,7080011,17824942,3287725,1215764.945059509,2818725,0,2875481,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2601 m2 perkotaan Semarang,,23376021921.0,33762721176.01095,True,1366.0,1244606,4356714,1311091,1144306,9334648,32179225,3988639,2798074.7739294223,3287118,1370455,598505,821276,3905080,4043919,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Bekas,13967051.318055255,10466890.454111245,True,2527.0,889802,0,865750,717554,0,26422288,1080120,1801635.6023782159,11622442,0,3094691,0,1918127,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Baru,8765259.825555349,24707511.224389803,True,7931.0,492444,5147453,1474133,1096056,4236679,31104889,0,2756320.083005092,15491008,0,3447854,4670855,0,1614033,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1378 m2 pedesaan Depok Timur,,7583694846.0,17444233239.13564,False,4775.0,1553267,3026234,1345665,1292906,0,26930139,1743117,2536396.500631928,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Bekas,32547891.489136137,86290315.85430928,True,,1171365,6011865,898294,694201,0,24950919,3387676,1302530.908435096,3834665,0,0,0,3557925,4698829,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,5002372.186168302,14451055.365829142,True,3752.0,1691695,9073323,853316,918229,0,33781055,2128386,2294531.116544406,0,194462,0,0,0,2460000,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Suzuki Smash,Bekas,17623225.948780183,36848081.68965156,True,7330.0,932774,0,1130723,655195,8587379,9444623,3437091,753786.1450733626,0,0,0,1986301,0,4956485,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin tunangan berlian solitaire 1 karat dengan setting halo,,23113072.559395127,31553677.232161544,True,9991.0,792829,5967412,1442827,823072,0,28069594,0,2689667.4281744533,14181799,0,0,1230222,3498100,1076775,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Bekas,8154956.103424798,18872925.587835044,True,3516.0,844732,3907374,898425,868003,7643721,5562017,4263507,453195.00960449467,14556613,1007714,2379287,0,0,1781182,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,BMW Seri 3,Bekas,984641022.0082912,841457191.0983925,True,4913.0,1246393,0,1076426,449549,0,27242258,1691700,2437510.6258313176,14352725,0,0,0,1436788,4949072,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
