debtor_name,CreditScore,Gender,debtor_age,Tenure,arrear_amount,loan_amount,Efficient_HumanResources,debtor_occupation
6725,625,0,28,3,1,183646.41,0,1
1464,432,1,42,9,1,110265.24,1,2
6351,549,0,52,1,1,8636.05,1,1
2315,625,1,56,0,1,46824.08,1,1
3912,828,0,41,7,2,171378.77,0,1
2958,770,1,24,9,1,167256.35,0,4
4946,758,0,34,3,2,124226.16,0,0
3602,795,0,33,9,1,114935.21,0,2
2082,687,1,38,9,1,35608.88,0,2
4072,686,1,25,1,2,16459.37,0,4
1364,789,1,39,7,2,124411.08,0,2
934,589,0,50,5,2,34941.23,0,2
3126,461,0,34,5,1,167784.28,0,3
6309,637,1,40,2,1,93165.34,0,1
5220,584,0,48,2,1,75161.25,1,4
3089,579,0,35,1,2,8590.83,1,0
3551,756,1,44,10,1,189543.9,0,3
2636,663,1,34,7,2,180427.24,0,2
353,682,0,43,5,1,193318.33,0,3
5201,793,1,52,2,1,159123.82,1,3
6993,691,0,31,5,1,126213.84,1,4
2596,485,0,21,5,1,54141.5,0,0
403,635,0,29,8,2,141075.51,0,2
3046,650,1,37,5,1,24495.03,0,1
6768,735,1,44,9,1,74836.34,0,3
3447,416,1,32,0,2,878.87,0,2
6199,754,0,32,7,2,89520.75,0,2
5871,535,0,48,9,1,149892.79,1,3
214,716,1,42,8,2,180800.42,0,0
4622,539,1,37,2,1,98646.22,0,4
187,614,0,43,6,2,109041.53,0,3
3172,706,1,57,7,1,17941.16,1,4
4455,758,0,33,7,2,82996.47,0,0
3207,586,0,28,2,2,92067.35,0,0
3563,646,0,73,6,1,104719.66,0,2
1337,631,0,33,4,1,112687.57,0,3
3486,717,0,22,6,1,84699.56,0,2
6372,684,1,30,2,2,83473.82,0,1
5608,800,0,49,7,1,47125.11,0,1
1161,721,0,36,2,2,106977.8,0,2
3036,683,1,29,0,1,55582.54,1,3
4238,660,1,31,9,2,139874.43,0,2
2833,704,0,24,7,1,162503.48,1,4
3584,615,0,41,9,1,196499.96,0,4
496,667,0,39,2,2,40721.24,1,2
5149,682,1,24,9,2,53134.3,0,2
1837,484,0,29,4,1,164017.89,0,2
5525,628,1,27,5,2,155996.96,0,2
3589,480,1,44,10,1,5472.7,1,2
3574,578,1,30,4,1,112187.11,0,1
2426,512,1,40,5,2,146457.83,0,3
1387,484,0,35,7,1,27286.1,0,3
179,510,0,30,0,2,130553.47,0,2
2342,606,1,36,5,2,179351.89,0,1
4855,597,0,40,8,1,94774.12,0,4
2526,754,0,55,3,1,8080.85,1,0
5939,850,0,45,2,1,19482.5,0,1
354,510,1,65,2,2,48071.61,0,0
3135,778,0,45,1,2,174531.27,0,4
6631,636,1,42,2,2,55470.78,0,2
3609,804,0,50,4,1,8546.87,1,1
5331,514,1,32,8,2,95857.18,0,1
6598,730,0,39,1,1,194945.8,0,2
761,525,0,37,0,1,131521.72,0,2
1857,616,1,30,5,2,196108.51,0,0
3649,687,0,34,7,2,148564.76,0,1
1208,715,0,41,8,2,92982.61,1,4
5238,512,0,36,3,2,17675.36,0,4
440,479,1,40,1,2,114996.43,0,4
5867,601,1,32,8,1,86957.42,0,1
1950,580,1,29,9,2,128077.8,0,2
1128,807,1,35,3,1,600.36,0,0
1422,616,0,32,6,2,43001.46,0,3
1093,721,1,37,3,1,158591.12,0,3
943,501,1,57,10,2,47847.19,0,3
2620,521,1,35,6,1,10488.44,0,4
4710,850,1,30,2,1,5978.2,0,0
4999,759,1,42,4,1,121409.06,0,2
6992,516,1,50,5,1,146145.93,1,0
1622,711,0,38,2,2,14374.86,1,1
2346,512,1,33,3,1,94670.77,0,3
1616,550,1,37,3,1,179670.31,0,3
3916,608,0,41,3,1,199304.74,1,1
382,618,1,34,5,1,151954.39,0,1
1593,643,1,45,5,1,142513.5,1,0
5345,671,1,45,2,1,158264.62,0,4
2998,689,1,33,2,2,169381.9,0,3
3882,603,1,31,8,2,169915.02,0,1
291,620,0,41,9,2,88852.47,0,4
5892,676,0,34,1,1,40645.81,0,1
1377,572,1,26,4,2,60427.3,0,1
4215,668,1,47,7,1,157959.02,1,1
1451,695,1,46,7,1,133007.34,0,0
800,730,0,33,9,2,176576.62,0,3
33,807,1,43,1,2,34888.04,1,2
4185,592,1,54,8,1,28737.71,1,3
663,726,0,31,9,2,98178.57,0,4
2145,514,1,30,7,1,125010.24,0,2
2300,567,1,42,2,2,167984.61,0,4
4537,850,1,33,10,1,4861.72,1,1
6955,671,1,45,6,1,108872.45,1,1
5239,670,1,37,4,2,198252.88,0,3
401,694,0,30,9,2,26960.31,0,1
6296,547,0,39,6,3,85746.52,1,0
3158,751,1,50,2,1,77206.25,1,4
1879,594,0,29,3,1,61048.53,0,4
2473,673,1,72,1,2,111981.19,0,4
3223,610,1,40,0,2,62232.6,0,4
165,512,0,37,1,2,156105.03,0,2
615,767,1,20,3,2,150135.38,0,0
6376,585,0,67,5,2,93146.11,0,4
6361,763,1,42,6,1,33462.94,1,2
5204,712,0,29,2,1,144375.0,0,4
3369,539,0,43,3,3,55803.96,1,0
4677,668,0,46,2,3,89048.46,1,0
3009,703,1,28,2,2,162812.16,0,2
2387,662,1,38,4,2,136259.65,0,4
3020,725,0,39,5,1,124052.97,0,0
114,703,1,37,8,2,74158.8,0,2
6331,659,1,67,6,1,45071.09,1,3
5233,523,1,34,7,2,62030.06,0,2
3417,635,0,40,10,1,131953.23,1,3
4160,772,1,26,7,2,79414.0,0,2
5337,545,0,26,1,2,199638.56,0,3
4982,634,1,24,8,1,157577.29,0,1
4253,739,1,54,8,1,134420.75,1,4
4645,771,0,36,5,1,99805.99,0,3
444,587,0,34,1,2,97932.68,0,4
2452,681,0,79,0,2,170968.99,0,2
1116,544,1,37,2,1,57558.95,0,2
2430,696,1,28,8,1,176713.47,0,3
3562,766,1,41,0,2,34283.23,0,2
1594,727,1,34,10,2,198637.34,0,2
233,671,0,34,6,2,156917.12,0,1
2318,693,0,30,6,1,50457.2,0,2
3237,850,1,38,3,1,140075.55,0,3
6662,732,1,42,9,2,65323.11,0,0
6047,726,0,48,6,1,64323.24,0,3
1241,557,0,32,6,2,14956.44,0,0
3239,682,0,26,0,1,111879.21,0,2
4367,738,1,31,9,1,18606.23,0,1
5604,531,0,36,9,1,123137.01,0,3
67,498,1,34,2,2,148528.24,0,0
5766,651,1,36,7,2,13898.31,0,3
770,549,0,39,7,1,81259.25,1,4
2825,791,0,35,7,1,161051.75,0,2
4901,650,1,41,9,2,191599.67,0,4
1480,733,1,34,3,3,48559.19,1,0
4925,811,0,34,1,2,186339.74,0,0
6100,707,1,30,8,2,33159.37,0,4
6753,712,1,28,4,1,93883.53,0,3
2209,706,0,37,7,2,110899.3,0,2
2168,756,1,62,3,1,11199.04,1,3
5735,777,0,53,10,2,189992.97,0,2
4439,646,1,35,6,1,164255.69,0,3
3980,714,1,46,1,1,152167.79,1,4
651,782,1,39,8,2,33949.67,0,1
2324,775,1,29,10,2,68143.93,0,1
4606,479,1,35,4,1,47251.79,1,2
2447,807,1,42,7,1,25885.72,0,3
4548,799,0,22,8,2,192633.85,0,1
4229,675,1,40,7,2,34577.36,0,4
3339,602,1,29,5,1,161229.84,0,4
6964,475,0,32,8,1,100816.29,0,1
2702,744,0,26,5,1,181694.44,0,1
3152,588,1,34,10,2,79078.91,0,2
1355,703,1,42,9,1,137316.32,0,0
5404,747,0,41,5,2,194926.86,0,4
4541,583,1,27,7,2,51285.49,0,2
2449,750,0,34,9,1,150401.53,1,1
3108,681,1,38,3,2,112491.96,0,3
5258,773,1,25,2,1,73656.38,0,3
1114,714,0,31,4,1,106636.89,0,1
1939,687,0,44,7,3,155853.52,1,2
2853,511,1,58,0,1,162599.51,0,1
4588,627,1,33,5,2,103737.82,0,4
5085,694,0,31,10,2,160990.27,0,0
2701,616,0,36,6,1,15462.84,0,1
1369,687,1,35,8,2,10334.05,0,3
4347,712,0,33,6,2,190686.16,0,3
5327,553,1,33,4,1,94440.45,0,2
4112,667,1,31,1,1,28257.63,0,0
68,731,1,43,2,1,170034.95,1,4
2528,629,1,35,7,2,31824.29,0,2
1838,614,1,50,4,1,127166.49,1,0
1926,438,1,31,8,1,44937.01,0,3
5169,652,0,80,4,2,188603.07,0,2
6263,729,1,30,6,1,145111.37,0,2
387,642,1,38,3,2,171463.83,0,3
5259,806,0,59,0,1,182822.5,0,1
3504,744,1,36,2,1,87213.33,0,4
5079,474,1,37,3,2,57175.32,0,4
2948,559,1,49,2,1,120540.83,1,0
4512,706,1,42,9,2,28714.34,0,1
5070,628,0,22,3,1,85426.28,0,4
4733,429,1,24,4,1,46170.75,0,4
2415,525,0,57,2,1,64448.36,0,4
4111,680,0,30,8,1,16278.97,0,4
1101,749,1,40,1,1,182855.42,1,0
6736,763,0,31,4,2,50404.72,0,3
2884,734,1,30,3,2,107640.25,0,1
2352,716,1,35,4,1,134132.65,0,4
2099,594,1,35,2,2,103480.69,0,3
6074,644,0,46,9,1,108761.05,1,0
5438,671,1,35,1,1,179012.3,0,4
1100,664,1,26,7,2,95145.14,0,2
2556,656,1,50,7,2,72143.44,0,0
24,667,0,40,1,1,19162.89,0,4
2097,663,1,44,2,2,144680.18,0,4
534,584,0,30,8,1,177772.03,1,3
5903,626,0,37,6,1,5597.94,0,3
4668,485,1,29,7,1,116828.51,1,1
6844,659,0,32,3,2,174652.51,0,2
3996,649,1,33,2,2,2010.98,0,1
448,805,0,39,5,1,14109.85,1,4
1769,716,0,39,10,1,43527.4,1,4
1576,642,0,40,6,2,86099.23,1,4
5196,659,1,31,4,1,161574.19,0,3
2321,545,0,47,5,2,38970.14,0,0
3550,543,1,22,8,2,127587.22,0,2
3413,718,0,25,7,2,30380.12,0,0
5803,840,0,43,7,2,90908.95,0,0
2821,630,0,34,9,2,138275.01,0,0
1314,643,1,59,3,1,32171.79,0,2
4803,654,0,32,1,1,126143.23,0,2
192,582,1,39,5,2,129892.93,0,4
4349,659,1,32,3,2,102416.84,0,0
3461,762,1,39,2,1,18719.67,0,4
6211,568,0,32,7,1,61936.22,0,3
2102,670,1,25,6,2,78358.94,0,1
6983,613,0,45,1,2,147224.27,0,1
672,539,1,30,0,2,160979.66,0,2
660,850,0,57,8,2,132298.49,0,1
4093,522,1,34,9,1,174248.52,1,0
6522,737,1,41,1,1,123547.28,0,3
3267,520,1,58,3,2,32790.02,0,2
5115,706,1,28,3,2,181543.67,0,1
6178,643,0,45,2,1,2319.96,1,0
2731,648,0,50,9,1,189543.19,0,4
3008,443,0,29,9,2,10940.4,0,2
3586,640,1,68,9,2,199493.38,0,1
4965,628,0,33,3,1,188193.25,0,1
1669,540,0,42,9,2,172572.64,0,2
66,460,0,35,8,2,189339.6,0,4
3272,636,1,34,2,2,53512.16,0,1
1393,593,0,29,2,1,34004.44,0,0
1141,801,1,42,4,1,10598.29,0,4
3981,640,0,75,1,2,113428.77,0,1
3753,611,1,31,0,2,183487.98,0,4
1445,802,1,31,1,1,187658.09,0,3
6898,717,1,35,7,2,172459.39,0,4
665,769,0,39,8,1,21016.0,0,3
1096,745,1,45,10,3,122381.02,1,1
1680,572,1,35,4,1,128123.66,0,4
288,629,0,30,2,1,19570.63,0,4
6190,687,0,39,2,3,188150.6,1,3
5263,483,0,50,9,2,111020.24,0,1
3600,690,1,36,7,2,123775.15,0,0
2800,492,0,30,10,2,146700.22,0,0
6257,709,1,28,8,2,145251.35,0,2
4533,705,1,44,3,1,82463.69,0,4
2503,560,0,66,9,1,15928.49,0,1
5017,611,1,46,6,2,45886.33,0,1
2972,730,1,62,2,2,186489.95,0,1
5731,709,0,45,2,2,162922.65,0,0
6655,544,0,21,10,2,9262.77,0,2
4834,712,0,29,7,1,84932.4,0,4
3645,752,1,38,3,1,71557.12,0,4
1229,648,1,46,9,2,77405.95,1,3
6837,556,1,38,8,2,417.41,1,4
1567,594,0,24,0,1,71405.17,0,3
4998,645,0,37,2,2,153400.24,0,1
2509,557,1,33,3,1,371.05,0,1
1077,547,1,32,8,1,67789.99,0,3
804,701,0,39,9,2,145894.9,0,3
6808,616,0,66,1,1,183840.51,1,2
1730,605,1,52,1,1,108887.44,0,1
664,593,0,38,4,1,154071.27,0,3
6176,751,1,52,8,2,179291.85,0,2
412,443,1,36,6,2,56937.43,0,4
4743,685,1,23,8,2,112239.03,0,2
6904,718,1,36,9,1,45909.87,0,2
2910,538,0,49,9,1,173779.25,1,2
6896,611,0,37,4,2,125696.26,0,0
5858,668,1,37,10,2,159585.61,0,2
4888,537,0,41,3,1,106761.47,0,3
1601,709,1,23,10,2,129590.18,0,1
4813,850,1,38,1,2,80006.65,0,1
5845,745,0,31,3,1,140451.52,0,2
4587,693,0,41,9,3,187929.43,1,1
1820,795,1,35,8,2,167155.36,0,2
5941,626,1,26,8,2,191420.71,0,2
6090,487,0,61,5,1,11384.45,1,4
5221,556,0,39,9,1,94898.1,0,3
3137,643,0,46,6,2,106781.59,0,3
1407,605,0,28,6,2,159508.52,0,3
2332,756,0,60,3,1,93524.19,1,2
5492,586,0,38,2,2,87168.46,0,2
3612,535,1,40,7,1,8128.32,1,0
2976,678,0,35,4,1,125518.32,0,1
5161,596,1,39,9,1,48963.59,0,2
4725,648,1,26,9,1,98368.24,0,3
1617,492,1,39,10,2,148584.61,0,3
74,702,1,45,0,1,27474.81,0,4
6323,486,0,40,9,1,76192.21,0,2
5849,568,1,40,1,1,134600.94,1,0
212,619,1,57,3,1,72467.99,1,2
1140,724,1,41,2,2,199645.45,0,0
2455,548,0,33,0,1,42749.85,0,4
4792,545,0,37,8,1,136050.44,1,2
1734,683,1,33,8,1,73564.44,0,1
1774,762,0,51,3,1,85578.63,0,2
2755,627,0,30,4,2,129826.89,0,2
3638,516,1,35,10,2,119666.0,0,4
3039,800,0,38,2,2,68052.08,0,4
6488,464,0,42,3,1,164104.74,0,2
436,626,0,35,3,1,80190.36,0,2
2640,790,0,31,9,2,84126.75,0,4
5725,534,0,34,7,2,70179.0,0,0
2337,745,1,46,2,1,118024.1,0,2
169,553,1,47,3,1,145704.19,1,4
4540,748,0,26,1,1,183049.41,0,0
3478,722,1,37,2,1,120906.83,0,3
6942,501,1,40,4,1,100433.83,0,1
1174,675,0,38,6,1,138777.0,1,1
3269,778,0,47,6,2,124694.99,0,0
4445,494,0,38,7,1,40084.32,0,4
5743,850,1,40,9,2,119232.33,0,1
3197,592,1,31,7,1,43921.36,0,4
6349,590,0,44,3,1,62222.81,0,1
1737,758,0,39,6,1,56577.0,0,1
1105,506,1,36,5,2,164253.35,0,2
1846,733,1,33,3,1,7666.73,0,1
2569,711,1,38,3,2,68487.51,0,1
5807,514,1,43,1,1,199273.98,1,0
6996,637,1,37,8,1,186062.36,0,0
6223,468,1,29,1,2,195711.16,0,2
2483,539,1,39,3,2,36692.17,0,4
1447,509,0,25,3,2,106920.57,0,2
6215,662,0,32,4,1,48725.68,1,4
4068,818,1,26,4,2,167036.94,0,4
3772,608,1,33,9,1,68777.26,0,2
6179,850,0,32,9,2,18924.92,0,1
4595,816,0,38,5,3,71905.77,1,3
3900,536,1,35,8,2,64833.28,0,4
4669,753,1,35,3,2,184843.77,0,0
1396,631,1,27,10,1,176730.02,0,0
5458,703,1,37,1,1,20629.4,1,3
681,774,1,26,2,1,28415.36,0,4
6317,785,1,28,8,2,77231.27,0,4
1471,571,0,33,1,2,102750.7,0,3
670,621,1,46,6,1,34580.8,1,4
3972,605,0,31,1,1,183598.77,0,2
5128,611,0,40,8,2,147358.27,0,3
6303,569,1,38,7,1,108469.2,0,1
5260,658,1,29,4,1,20612.82,0,4
3748,788,1,34,6,1,181196.76,0,0
5140,525,0,23,5,2,160249.1,0,1
3670,798,1,37,8,3,110783.28,0,1
3808,486,1,37,9,2,144995.33,0,3
2187,615,1,61,9,2,150227.85,1,3
4091,730,0,35,0,1,53718.28,0,1
1320,641,1,37,7,2,75248.3,0,0
3391,542,1,39,3,1,14353.43,1,3
722,692,1,30,2,2,130486.57,0,4
3915,714,0,55,9,1,100127.71,0,2
1502,591,1,29,1,1,196356.17,0,3
1644,710,0,41,2,1,9983.88,0,2
6841,639,0,38,4,2,118974.77,0,1
6033,531,0,47,6,1,194998.34,1,2
2993,673,0,38,2,2,134901.34,1,3
2451,765,1,36,8,2,72924.56,0,4
5484,622,0,32,6,2,101057.95,0,3
3118,806,1,40,5,1,142838.64,0,1
5310,757,1,26,8,2,127059.04,0,0
3258,570,0,58,8,1,116503.92,1,0
1172,555,1,32,4,2,54405.79,0,4
4833,692,1,54,5,2,88721.84,0,1
4207,774,1,60,5,1,74135.48,1,1
6689,638,1,44,9,2,111346.22,0,4
6018,543,0,41,4,1,194902.16,0,4
4808,584,1,31,5,2,31474.27,0,4
2991,691,1,30,7,1,21198.39,0,3
2530,684,0,40,6,1,186976.6,0,3
1225,733,1,22,5,2,117202.19,0,1
1545,599,0,37,2,2,143739.29,0,3
1548,524,0,31,10,2,161811.23,0,1
4995,632,0,38,6,2,98090.91,0,1
3957,735,1,34,5,2,71095.41,0,0
2999,734,1,34,6,1,13107.24,0,2
4639,605,0,51,3,1,67110.59,1,0
2817,793,1,38,9,2,88225.02,0,2
1082,468,0,56,10,3,62256.87,1,4
25,779,1,37,7,2,135925.72,0,0
5552,698,1,48,4,2,177815.87,1,1
2450,707,1,58,6,1,126471.13,0,0
2784,850,0,35,1,1,188574.12,1,4
4502,850,1,56,7,1,119175.45,0,2
4738,527,1,37,5,2,139093.73,0,1
1580,696,1,32,8,1,115916.55,0,2
6593,661,1,48,3,1,96463.25,0,2
2512,776,0,31,2,2,112349.51,0,2
1069,701,1,43,2,2,165303.79,0,2
6934,610,1,26,8,2,166031.08,0,3
5805,572,0,48,3,1,38411.79,1,2
3462,673,1,30,1,1,77783.35,0,4
5762,519,0,57,2,2,29871.79,0,3
4906,702,0,26,4,1,59747.63,0,4
5019,729,1,32,6,1,79919.13,0,2
3853,543,1,35,10,1,76773.53,0,1
4197,550,0,40,7,1,54018.93,0,1
6954,608,1,59,1,1,70649.64,1,3
2785,639,1,35,10,2,59093.39,0,2
3192,686,1,34,9,2,127569.8,0,3
1479,564,0,62,5,3,18260.98,1,2
5996,745,0,28,1,1,73275.96,1,3
4638,833,1,37,8,2,136129.49,0,1
2610,622,1,26,9,2,153237.59,0,3
1453,597,0,42,4,1,106841.12,0,2
3256,721,1,51,0,1,109078.35,1,4
296,504,0,49,7,3,87822.14,1,0
1371,842,0,44,2,2,126644.98,0,1
1908,587,1,38,0,2,47414.15,0,0
5153,479,0,30,7,2,41879.99,0,1
5572,508,1,49,7,2,75808.1,0,2
6909,749,1,24,1,3,47911.03,0,2
3097,721,0,36,3,2,28737.78,0,1
3721,674,1,47,6,1,2079.2,1,0
352,685,0,25,10,1,121562.33,0,4
5318,417,1,34,7,2,55003.79,0,3
2147,574,1,33,3,1,193131.42,0,1
4267,590,0,51,3,3,191932.27,1,2
5739,587,1,40,5,2,159418.1,0,2
2886,598,1,41,3,1,191468.78,1,4
392,741,1,53,3,2,38913.68,0,4
6912,850,0,70,5,1,705.18,0,1
2158,584,0,29,7,1,138490.03,0,3
3852,650,1,61,1,1,82970.69,0,0
3932,607,1,36,8,1,76744.72,0,2
6195,509,0,46,1,1,71244.59,1,0
2443,689,0,38,6,1,12182.15,0,3
4860,543,1,36,4,2,141210.5,0,3
2564,438,0,54,2,1,191763.07,1,0
3343,687,0,63,1,1,37938.74,0,4
6327,737,1,31,5,2,74890.58,0,1
6282,761,1,31,7,3,166698.18,0,4
4252,601,1,44,1,2,62678.53,0,3
5453,651,1,45,1,1,67740.08,1,3
2591,745,1,35,9,2,161519.77,0,0
4750,648,0,49,10,2,159835.78,1,1
1559,848,1,40,3,1,30876.84,0,2
5868,546,0,27,8,2,14858.1,0,4
216,439,0,32,3,1,75685.97,0,2
355,755,1,30,4,2,144183.1,0,0
5802,593,0,41,6,1,65170.66,0,1
1334,701,1,39,2,2,82526.92,0,0
793,701,1,36,8,2,169161.46,0,3
6936,607,0,33,2,2,109291.39,1,2
4963,586,0,57,3,2,6057.81,0,2
960,547,0,30,9,1,77077.14,0,4
244,647,0,51,1,2,54954.51,1,0
5319,760,0,51,2,1,179614.8,1,1
5759,621,1,53,9,1,35588.07,1,1
4284,725,1,44,5,1,117356.14,0,4
1065,526,1,36,1,1,160696.72,0,0
5575,519,0,47,6,2,147278.43,1,1
1719,713,0,38,7,1,56594.36,1,3
3614,700,1,38,8,1,1299.75,0,4
3962,666,0,34,9,1,25095.03,0,0
1285,630,1,32,4,1,146326.45,0,2
1477,779,0,26,4,2,38296.21,0,2
4154,611,0,41,2,1,164061.6,0,0
1675,685,1,43,9,2,107811.28,0,3
4159,646,1,39,9,1,30838.51,0,3
2501,683,0,57,5,1,9221.78,1,2
2891,484,0,34,4,1,33738.27,0,4
3680,601,0,43,8,3,110916.15,1,4
1309,762,0,26,7,2,169654.57,0,3
5788,687,0,72,9,1,69829.4,0,0
719,566,1,30,5,1,54926.51,1,0
3501,702,1,37,10,1,94728.49,0,0
4945,601,1,29,9,1,80393.27,0,3
3849,699,1,53,4,2,111307.98,0,0
2136,584,1,28,10,2,19834.32,0,4
5465,699,1,35,5,2,78397.24,0,2
3387,698,0,51,2,1,86410.28,0,4
6968,495,1,30,10,1,172749.65,0,2
3831,650,0,27,6,2,1002.39,0,0
6786,605,0,64,2,1,13601.79,0,4
2085,667,1,38,1,1,77866.91,0,4
4785,688,1,26,8,1,175296.76,0,1
4892,727,0,31,0,1,121751.04,1,0
2374,754,1,39,6,2,89593.26,0,3
2566,612,0,62,8,1,193437.89,1,3
2223,546,1,42,7,1,86945.0,0,2
3913,673,0,37,8,2,183318.79,0,1
940,593,1,35,9,1,71154.1,0,2
2970,656,0,40,10,1,151887.16,0,4
5568,535,0,53,5,2,75888.65,0,3
4598,678,1,36,3,2,89566.74,0,0
1367,477,0,48,2,1,26475.79,0,2
4623,850,1,35,7,1,126355.8,0,0
4953,427,1,29,1,1,93839.3,0,1
667,752,1,49,2,1,7698.6,0,4
4736,649,1,47,1,2,145593.85,0,2
2361,799,0,28,3,1,45042.56,0,1
180,589,0,61,1,1,61108.56,1,1
6962,583,0,54,6,1,57553.98,1,1
3408,839,0,33,10,1,62674.42,0,1
1575,540,1,44,3,2,12120.79,0,1
