debtor_age,debtor_gender,debtor_education_level,debtor_marital_status,debtor_number_of_dependents,debtor_asset_ownership,debtor_asset_value,debtor_occupation,debtor_yearly_income,debtor_yearly_expense,debtor_net_income,debtor_income_frequency,debtor_loan_amount,debtor_reschedule_history,debtor_delay_history,debtor_communication_channel,debtor_tenor,debtor_num_of_paid_months,debtor_num_of_unpaid_months,debtor_days_before_due_date,debtor_business_prospect_growth_potential,debtor_business_prospect_market_conditions,debtor_performance_profitability,debtor_performance_cash_flow,debtor_repayment_ability_accuracy,jan,feb,mar,apr,may,jun,jul,august,sept,oct,nov,des,debtor_aging,debtor_risk_status
56,Perempuan,S2,Kawin,3,FALSE,450000000,Pengusaha,278500000,27752615,250747384,12,69500000,2,0,Telpon,13,11,5,-1,FALSE,2,1,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,DPK,Cukup Beresiko
52,Laki-laki,D3,Belum Kawin,0,TRUE,200000000,Pengusaha,642000000,0,642000000,12,160500000,1,0,Field,7,4,3,-2,FALSE,1,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
21,Perempuan,S3,Belum Kawin,0,TRUE,0,Profesional,171500000,0,171500000,12,42500000,0,0,E-mail,32,4,28,1,TRUE,1,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
29,Perempuan,S1,Kawin,2,FALSE,0,Pegawai Negeri,84000000,15274058,68725941,12,21000000,2,2,Telpon,16,1,4,1,FALSE,1,5,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,DPK,Cukup Beresiko
27,Laki-laki,SMA,Kawin,1,FALSE,0,Pegawai Swasta,82500000,10578042,71921957,12,20500000,1,0,SMS,33,31,2,4,TRUE,1,5,TRUE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,DPK,Cukup Beresiko
36,Laki-laki,S1,Kawin,3,FALSE,0,Buruh,32500000,27747765,4752235,12,8000000,0,0,SMS,23,20,5,-4,FALSE,1,5,TRUE,FALSE,0,0,0,0,1,0,1,0,0,1,0,1,Kurang lancar,Beresiko
57,Perempuan,S2,Belum Kawin,0,TRUE,0,Pengusaha,745000000,0,745000000,12,186000000,2,1,Telpon,9,8,1,-5,FALSE,2,5,FALSE,TRUE,0,0,0,1,0,0,0,0,1,0,0,0,DPK,Cukup Beresiko
57,Laki-laki,S1,Kawin,5,FALSE,0,Buruh,22500000,55450081,-32950081,12,5500000,1,1,Telpon,33,0,5,4,TRUE,2,5,FALSE,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,DPK,Cukup Beresiko
49,Perempuan,S2,Belum Kawin,0,FALSE,0,Pegawai Swasta,95500000,0,95500000,12,23500000,0,0,Telpon,15,13,0,3,FALSE,2,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
54,Laki-laki,D3,Cerai Mati,1,FALSE,0,Pengusaha,521000000,9648000,511351999,12,130000000,2,1,Telpon,6,0,1,0,TRUE,3,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
52,Perempuan,S1,Belum Kawin,0,FALSE,250000000,Pengusaha,431500000,0,431500000,12,107500000,2,0,Field,21,4,0,5,TRUE,2,1,TRUE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
44,Perempuan,S2,Kawin,5,TRUE,550000000,Pegawai Swasta,52000000,55198435,-3198435,12,13000000,1,2,Field,14,14,0,8,FALSE,1,5,TRUE,TRUE,0,1,0,0,0,0,0,1,2,3,4,0,Kurang lancar,Beresiko
28,Laki-laki,S2,Kawin,1,FALSE,0,Pegawai Negeri,59000000,13617696,45382304,12,14500000,2,2,Field,14,13,1,-5,FALSE,1,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
53,Laki-laki,S1,Belum Kawin,0,TRUE,250000000,Pegawai Negeri,99500000,0,99500000,12,24500000,1,0,E-mail,14,12,2,9,FALSE,2,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
44,Perempuan,S2,Belum Kawin,0,FALSE,0,Pegawai Swasta,87500000,0,87500000,12,21500000,2,0,WhatsApp,15,0,0,6,FALSE,2,5,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,1,2,Kurang lancar,Beresiko
24,Perempuan,S3,Belum Kawin,0,FALSE,350000000,Profesional,129000000,0,129000000,12,32000000,1,2,WhatsApp,31,19,0,5,TRUE,3,1,TRUE,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
26,Laki-laki,SMP,Cerai Mati,3,TRUE,250000000,Pegawai Negeri,70000000,34098964,35901035,12,17500000,1,2,Telpon,10,0,10,-2,TRUE,2,1,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
43,Laki-laki,SD,Belum Kawin,0,FALSE,0,Buruh,49500000,0,49500000,12,12000000,1,2,WhatsApp,25,11,0,0,FALSE,2,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
48,Perempuan,S1,Belum Kawin,0,TRUE,250000000,Pegawai Swasta,87500000,0,87500000,12,21500000,2,0,Telpon,10,1,9,-4,TRUE,1,1,FALSE,FALSE,0,0,1,0,0,1,0,0,0,0,0,0,DPK,Cukup Beresiko
57,Perempuan,S1,Belum Kawin,0,TRUE,0,Pegawai Negeri,108000000,0,108000000,12,27000000,0,1,E-mail,27,24,3,7,TRUE,1,5,TRUE,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,DPK,Cukup Beresiko
51,Perempuan,S3,Belum Kawin,0,TRUE,0,Profesional,230000000,0,230000000,12,57500000,1,0,SMS,15,12,3,1,FALSE,1,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
37,Laki-laki,SMA,Cerai Hidup,3,TRUE,300000000,Pegawai Negeri,70500000,27569259,42930740,12,17500000,2,2,Field,28,6,22,2,FALSE,1,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
30,Laki-laki,S1,Belum Kawin,0,FALSE,250000000,Profesional,133000000,0,133000000,12,33000000,1,1,SMS,29,10,0,1,TRUE,1,1,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
52,Laki-laki,S3,Belum Kawin,0,FALSE,0,Pegawai Negeri,53000000,0,53000000,12,13000000,1,0,SMS,27,6,0,5,FALSE,2,5,TRUE,FALSE,0,1,0,0,1,0,0,0,1,0,0,0,Kurang lancar,Beresiko
46,Laki-laki,S3,Cerai Mati,4,TRUE,550000000,Profesional,150000000,45435105,104564895,12,37500000,0,0,Field,18,14,4,8,FALSE,1,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
56,Perempuan,S3,Belum Kawin,0,TRUE,0,Profesional,256000000,0,256000000,12,64000000,0,1,WhatsApp,11,7,4,8,TRUE,1,5,FALSE,TRUE,0,0,0,0,0,0,1,2,3,4,0,1,Kurang lancar,Beresiko
55,Perempuan,S2,Kawin,2,FALSE,0,Pegawai Swasta,71000000,19324278,51675721,12,17500000,0,0,SMS,31,2,4,9,FALSE,4,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,DPK,Cukup Beresiko
20,Perempuan,S2,Belum Kawin,0,TRUE,300000000,Pegawai Swasta,53500000,0,53500000,12,13000000,2,2,Telpon,18,18,0,5,FALSE,2,1,FALSE,TRUE,0,1,0,0,0,0,0,1,0,0,0,0,DPK,Cukup Beresiko
54,Perempuan,S3,Belum Kawin,0,TRUE,350000000,Pegawai Swasta,80500000,0,80500000,12,20000000,2,2,Telpon,32,18,14,-2,FALSE,2,1,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
30,Laki-laki,S2,Cerai Mati,3,TRUE,450000000,Pegawai Negeri,119000000,40644069,78355930,12,29500000,2,0,WhatsApp,21,16,5,8,TRUE,2,1,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
47,Laki-laki,SD,Belum Kawin,0,FALSE,0,Pegawai Swasta,91500000,0,91500000,12,22500000,2,0,Telpon,12,4,0,0,FALSE,2,5,FALSE,FALSE,1,0,0,0,0,0,0,0,1,0,0,1,DPK,Cukup Beresiko
29,Laki-laki,SD,Kawin,4,FALSE,0,Pengusaha,631500000,35961085,595538914,12,157500000,2,1,E-mail,16,14,6,1,FALSE,3,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,DPK,Cukup Beresiko
37,Perempuan,S3,Belum Kawin,0,FALSE,0,Pengusaha,280500000,0,280500000,12,70000000,0,1,Field,10,6,0,-1,FALSE,3,5,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
30,Perempuan,S3,Belum Kawin,0,TRUE,350000000,Pegawai Swasta,50500000,0,50500000,12,12500000,2,2,SMS,27,27,0,4,TRUE,2,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,DPK,Cukup Beresiko
48,Laki-laki,D3,Belum Kawin,0,TRUE,200000000,Pegawai Swasta,66000000,0,66000000,12,16500000,1,0,Telpon,29,26,3,9,TRUE,3,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
55,Laki-laki,SMP,Cerai Hidup,5,FALSE,0,Pegawai Negeri,72500000,74061945,-1561945,12,18000000,2,0,SMS,6,1,6,3,FALSE,4,5,TRUE,FALSE,0,0,1,2,0,0,0,0,1,0,0,0,Kurang lancar,Beresiko
33,Laki-laki,SMA,Kawin,4,FALSE,0,Pegawai Swasta,72500000,45902891,26597108,12,18000000,2,0,Field,10,4,5,2,FALSE,1,5,TRUE,FALSE,0,1,0,0,1,0,1,0,0,0,1,0,Kurang lancar,Beresiko
49,Laki-laki,SD,Cerai Mati,1,FALSE,0,Pengusaha,655500000,7082669,648417330,12,163500000,1,0,Field,8,0,1,3,FALSE,1,5,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
34,Perempuan,S2,Kawin,5,TRUE,0,Pengusaha,777000000,23145956,753854043,12,194000000,1,0,Telpon,25,1,24,-2,FALSE,2,5,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,1,DPK,Cukup Beresiko
35,Laki-laki,S2,Belum Kawin,0,TRUE,0,Profesional,239000000,0,239000000,12,59500000,2,0,E-mail,7,2,5,8,TRUE,2,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
42,Perempuan,S1,Kawin,1,FALSE,300000000,Profesional,279500000,14363300,265136700,12,69500000,1,0,Field,16,8,2,1,TRUE,1,1,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,DPK,Cukup Beresiko
31,Perempuan,S3,Belum Kawin,0,TRUE,350000000,Pegawai Negeri,107000000,0,107000000,12,26500000,1,0,Field,15,14,1,-5,FALSE,3,1,FALSE,FALSE,0,0,1,0,0,1,0,0,1,0,0,1,Kurang lancar,Beresiko
54,Laki-laki,S1,Belum Kawin,0,FALSE,0,Pegawai Negeri,75000000,0,75000000,12,18500000,2,2,Field,14,10,0,3,FALSE,4,5,TRUE,TRUE,0,1,0,1,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
36,Laki-laki,S2,Cerai Hidup,1,TRUE,350000000,Profesional,105500000,14402781,91097219,12,26000000,1,2,Field,27,20,7,9,TRUE,2,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
20,Perempuan,S2,Belum Kawin,0,TRUE,300000000,Pegawai Negeri,119000000,0,119000000,12,29500000,1,1,Field,21,19,2,8,FALSE,4,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
39,Laki-laki,SMA,Belum Kawin,0,FALSE,0,Pegawai Negeri,110000000,0,110000000,12,27500000,1,0,WhatsApp,31,25,0,5,FALSE,1,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
27,Perempuan,S2,Kawin,1,TRUE,0,Pegawai Negeri,119000000,16576429,102423570,12,29500000,1,2,WhatsApp,18,17,1,1,TRUE,2,5,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,DPK,Cukup Beresiko
59,Laki-laki,S2,Cerai Mati,4,FALSE,0,Pegawai Negeri,50000000,28233564,21766436,12,12500000,0,0,Telpon,30,2,8,6,FALSE,2,5,FALSE,FALSE,0,0,0,0,1,0,0,1,0,0,1,0,Diragukan,Sangat Beresiko
21,Perempuan,S1,Belum Kawin,0,TRUE,250000000,Pegawai Swasta,67500000,0,67500000,12,16500000,0,2,SMS,12,1,11,3,FALSE,1,1,TRUE,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,DPK,Cukup Beresiko
34,Laki-laki,S3,Cerai Hidup,1,TRUE,0,Profesional,171000000,5229582,165770418,12,42500000,1,0,Field,32,19,13,-3,TRUE,2,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
47,Laki-laki,SD,Kawin,2,FALSE,0,Pengusaha,437000000,17512135,419487864,12,109000000,1,1,SMS,10,8,3,0,TRUE,1,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
35,Laki-laki,D3,Cerai Mati,3,FALSE,0,Buruh,47500000,28331948,19168052,12,11500000,2,0,E-mail,22,0,6,3,TRUE,1,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
39,Laki-laki,SMA,Cerai Mati,2,TRUE,250000000,Pengusaha,730500000,12460864,718039135,12,182500000,0,0,Telpon,8,5,3,5,FALSE,2,1,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,DPK,Cukup Beresiko
25,Perempuan,S1,Kawin,3,TRUE,400000000,Pegawai Swasta,65000000,17506814,47493185,12,16000000,0,1,E-mail,19,17,2,4,TRUE,1,1,FALSE,TRUE,0,0,0,1,2,3,0,1,2,0,1,0,Diragukan,Sangat Beresiko
28,Laki-laki,S3,Cerai Hidup,5,TRUE,600000000,Pengusaha,453000000,29239486,423760513,12,113000000,1,2,Field,35,2,33,-5,TRUE,1,1,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
28,Perempuan,S3,Kawin,5,FALSE,0,Pegawai Swasta,88500000,56332694,32167305,12,22000000,2,0,Telpon,33,31,5,-2,TRUE,5,5,FALSE,FALSE,0,1,0,1,0,0,0,0,0,1,2,0,Kurang lancar,Beresiko
23,Laki-laki,SMA,Cerai Mati,5,TRUE,400000000,Pengusaha,339000000,50351207,288648792,12,84500000,0,0,WhatsApp,25,18,7,3,FALSE,3,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
39,Laki-laki,SD,Cerai Mati,2,FALSE,0,Profesional,181000000,10527864,170472136,12,45000000,2,1,SMS,33,18,2,-3,TRUE,1,5,FALSE,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
58,Perempuan,S2,Belum Kawin,0,TRUE,0,Profesional,267500000,0,267500000,12,66500000,1,0,E-mail,23,13,10,1,FALSE,5,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,DPK,Cukup Beresiko
24,Perempuan,S1,Belum Kawin,0,FALSE,0,Profesional,153000000,0,153000000,12,38000000,0,1,Field,8,5,0,1,TRUE,2,5,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
38,Perempuan,S1,Kawin,1,FALSE,0,Pegawai Negeri,110500000,12607162,97892837,12,27500000,1,2,Field,10,8,1,5,TRUE,4,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
21,Perempuan,S1,Kawin,2,FALSE,0,Pegawai Negeri,116000000,28402974,87597026,12,29000000,2,1,WhatsApp,21,8,2,-5,TRUE,1,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
52,Laki-laki,S1,Kawin,5,TRUE,500000000,Profesional,145500000,52453937,93046063,12,36000000,1,0,E-mail,26,8,18,7,FALSE,2,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
28,Laki-laki,SMP,Cerai Hidup,3,FALSE,0,Pegawai Negeri,106000000,41949338,64050661,12,26500000,2,0,Telpon,22,21,5,1,TRUE,1,5,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,DPK,Cukup Beresiko
56,Laki-laki,S3,Cerai Hidup,2,FALSE,0,Pegawai Negeri,55000000,30197911,24802088,12,13500000,2,0,SMS,14,13,2,1,TRUE,2,5,TRUE,FALSE,0,1,2,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
21,Laki-laki,SMP,Kawin,2,FALSE,0,Pegawai Swasta,103000000,25829376,77170623,12,25500000,0,0,Telpon,16,16,2,4,FALSE,1,5,TRUE,FALSE,0,1,0,0,1,0,0,1,0,1,0,0,Kurang lancar,Beresiko
41,Laki-laki,SD,Belum Kawin,0,FALSE,0,Pegawai Swasta,99500000,0,99500000,12,24500000,2,0,Field,34,22,0,10,FALSE,2,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
27,Laki-laki,SMA,Cerai Hidup,3,FALSE,0,Pengusaha,447500000,24340973,423159026,12,111500000,1,1,SMS,12,8,6,-4,TRUE,1,5,FALSE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
55,Perempuan,S1,Belum Kawin,0,TRUE,250000000,Pegawai Negeri,76000000,0,76000000,12,19000000,2,2,WhatsApp,8,1,7,4,TRUE,1,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
52,Laki-laki,D3,Cerai Hidup,4,TRUE,400000000,Pegawai Negeri,114000000,60492421,53507578,12,28500000,0,0,SMS,26,26,0,-1,FALSE,2,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,DPK,Cukup Beresiko
21,Laki-laki,S2,Cerai Hidup,3,TRUE,450000000,Buruh,38500000,31178089,7321911,12,9500000,2,2,WhatsApp,10,4,6,-2,TRUE,3,1,TRUE,TRUE,0,0,0,0,0,1,2,0,0,1,0,0,DPK,Cukup Beresiko
38,Perempuan,S1,Belum Kawin,0,TRUE,250000000,Pegawai Swasta,89000000,0,89000000,12,22000000,2,0,WhatsApp,20,18,2,3,FALSE,2,1,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
60,Laki-laki,S3,Cerai Mati,1,TRUE,400000000,Pegawai Swasta,119000000,7917259,111082740,12,29500000,1,0,SMS,33,16,17,10,FALSE,2,1,TRUE,FALSE,1,0,0,0,0,0,1,0,1,0,0,0,Kurang lancar,Beresiko
22,Laki-laki,SMP,Kawin,2,FALSE,0,Buruh,35500000,20339082,15160918,12,8500000,2,1,SMS,8,3,3,8,TRUE,1,5,TRUE,TRUE,0,0,0,0,1,2,0,0,1,0,0,1,Diragukan,Sangat Beresiko
43,Perempuan,S2,Belum Kawin,0,TRUE,300000000,Pengusaha,394500000,0,394500000,12,98500000,2,2,SMS,28,17,11,6,TRUE,3,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
39,Perempuan,S1,Belum Kawin,0,FALSE,0,Pegawai Swasta,93500000,0,93500000,12,23000000,0,0,Telpon,22,2,0,3,TRUE,2,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
32,Laki-laki,S1,Cerai Mati,5,TRUE,0,Profesional,137500000,42209154,95290846,12,34000000,2,0,WhatsApp,19,10,9,3,TRUE,2,5,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,DPK,Cukup Beresiko
29,Perempuan,S1,Belum Kawin,0,FALSE,0,Pegawai Negeri,62500000,0,62500000,12,15500000,2,0,Field,16,14,0,7,TRUE,1,5,TRUE,FALSE,1,2,3,0,0,1,0,0,0,0,0,0,Kurang lancar,Beresiko
21,Perempuan,S2,Belum Kawin,0,FALSE,0,Pegawai Swasta,68500000,0,68500000,12,17000000,1,1,Telpon,24,2,0,-2,TRUE,1,5,FALSE,TRUE,0,0,0,1,0,0,0,0,0,0,0,1,DPK,Cukup Beresiko
51,Perempuan,S3,Belum Kawin,0,FALSE,0,Pegawai Swasta,56500000,0,56500000,12,14000000,0,0,E-mail,28,5,0,3,TRUE,1,5,TRUE,FALSE,0,0,1,0,0,0,1,0,0,0,0,0,DPK,Cukup Beresiko
25,Perempuan,S2,Belum Kawin,0,TRUE,300000000,Pegawai Swasta,55000000,0,55000000,12,13500000,0,2,Telpon,29,15,14,-5,FALSE,2,1,FALSE,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
29,Laki-laki,S3,Cerai Hidup,3,FALSE,0,Buruh,51500000,20930294,30569706,12,12500000,2,0,WhatsApp,14,11,3,8,FALSE,1,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,DPK,Cukup Beresiko
55,Perempuan,S1,Belum Kawin,0,FALSE,250000000,Profesional,214000000,0,214000000,12,53500000,0,0,SMS,28,13,0,-3,TRUE,2,1,FALSE,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
53,Perempuan,S1,Kawin,2,TRUE,0,Profesional,192500000,24200604,168299396,12,48000000,2,1,WhatsApp,20,3,17,-4,FALSE,1,5,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
25,Perempuan,S2,Kawin,1,TRUE,0,Profesional,161500000,8950801,152549199,12,40000000,1,2,E-mail,25,5,20,6,FALSE,1,5,TRUE,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,DPK,Cukup Beresiko
54,Perempuan,S3,Kawin,1,TRUE,400000000,Pegawai Negeri,60000000,7883970,52116030,12,15000000,1,0,Field,6,5,1,-5,FALSE,1,1,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
47,Laki-laki,SMA,Kawin,3,TRUE,300000000,Profesional,229000000,28608638,200391362,12,57000000,0,0,SMS,26,7,19,-4,TRUE,4,1,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,DPK,Cukup Beresiko
36,Perempuan,S2,Kawin,1,TRUE,0,Profesional,236500000,14421932,222078068,12,59000000,1,1,E-mail,29,24,5,2,TRUE,5,5,TRUE,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
54,Laki-laki,D3,Cerai Hidup,2,TRUE,300000000,Pegawai Negeri,93000000,16409032,76590967,12,23000000,0,1,Field,6,2,4,2,FALSE,1,1,FALSE,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
53,Laki-laki,S2,Belum Kawin,0,FALSE,0,Pegawai Swasta,63000000,0,63000000,12,15500000,0,2,SMS,19,9,0,8,FALSE,2,5,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
54,Perempuan,S1,Kawin,2,TRUE,0,Profesional,206000000,16827044,189172956,12,51500000,0,0,E-mail,33,5,28,-5,TRUE,1,5,TRUE,FALSE,0,0,0,0,0,1,0,0,0,0,0,1,DPK,Cukup Beresiko
33,Perempuan,S2,Belum Kawin,0,TRUE,300000000,Profesional,280500000,0,280500000,12,70000000,1,1,Field,16,3,13,4,TRUE,1,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
34,Perempuan,S3,Kawin,1,TRUE,0,Pegawai Negeri,116000000,7579808,108420191,12,29000000,1,0,Telpon,20,17,3,5,FALSE,1,5,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
57,Perempuan,S1,Belum Kawin,0,TRUE,0,Pengusaha,762000000,0,762000000,12,190500000,0,0,SMS,7,2,5,0,FALSE,1,5,TRUE,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
